Type,ID,Name,Address,Category,Price,AreaCode,Dates,Description
Accommodation,2910942,팜파스리조트,강원특별자치도 속초시 동해대로 3964 (조양동) null,Motel,231000,32,N/A,N/A
Accommodation,3079917,팜파스호텔제주,제주특별자치도 제주시 서해안로 368-3 (용담삼동) null,Hotel,186000,39,N/A,N/A
Accommodation,2613988,팝콘 호스텔 해운대점,부산광역시 해운대구 해운대해변로 321 (중동)11층,Camping,124000,6,N/A,N/A
Accommodation,2579988,패밀리,경상남도 고성군 하이면 자란만로 849-6 null,Guesthouse,105000,36,N/A,N/A
Accommodation,681618,패스텔모텔,강원특별자치도 태백시 서황지로 16-8 (황지동) null,B02010900,133000,32,N/A,N/A
Accommodation,3102208,퍼센트 게스트하우스,대구광역시 중구 달구벌대로446길 28-8 (대봉동) 퍼센트 게스트하우스,B02011600,176000,,N/A,N/A
Accommodation,2911036,퍼스트호텔,경기도 구리시 갈매중앙로 89-7 (갈매동) null,Hotel,156000,31,N/A,N/A
Accommodation,142746,퍼시픽 호텔,서울특별시 중구 퇴계로20길 2 (남산동2가),Hotel,58000,1,N/A,N/A
Accommodation,3101990,퍼플 게스트하우스,서울특별시 동대문구 왕산로19라길 49 (제기동) null,Camping,226000,,N/A,N/A
Accommodation,3536898,페리아902,강원특별자치도 강릉시 사천면 해안로 902 null,Guesthouse,228000,32,N/A,N/A
Accommodation,2721755,페어몬트 앰배서더 서울(Fairmont Ambassador Seoul),서울특별시 영등포구 여의대로 108 null,Hotel,117000,1,N/A,N/A
Accommodation,3532307,페어필드 바이 메리어트 서울 호텔,서울특별시 영등포구 경인로 870 (영등포동1가) null,Hotel,201000,1,N/A,N/A
Accommodation,1840051,펜션 델라하우스,충청북도 충주시 앙성면 하너미로 532-13 null,Guesthouse,173000,33,N/A,N/A
Accommodation,398113,펜션 리운산장,강원특별자치도 평창군 봉평면 버들개1길 89-17 null,Guesthouse,88000,32,N/A,N/A
Accommodation,527497,펜션 초리풍경,경기도 파주시 법원읍 초리골길 172-3 null,Guesthouse,233000,31,N/A,N/A
Accommodation,3534731,펜션 티케하우스,강원특별자치도 강릉시 구정면 수목원길 45 null,Guesthouse,129000,32,N/A,N/A
Accommodation,2760768,펜션 하이디하우스,강원특별자치도 평창군 봉평면 흥정계곡길 240 null,Guesthouse,110000,32,N/A,N/A
Accommodation,3537931,펜션JD38,강원특별자치도 강릉시 강동면 정동등명길 38 null,Guesthouse,109000,32,N/A,N/A
Accommodation,921016,펜션강가애,강원특별자치도 홍천군 서면 도롱골길147번길 8-16 null,Guesthouse,175000,32,N/A,N/A
Accommodation,2380368,펜션별을쏘다,강원특별자치도 횡성군 서원면 월송석화로 98-35 null,Guesthouse,166000,32,N/A,N/A
Accommodation,397692,펜션뷰,경기도 양평군 용문면 용문산로192번길 10-8 null,Guesthouse,141000,31,N/A,N/A
Accommodation,2580650,펜션블루씨,경상남도 통영시 욕지면 욕지일주로 1536-17 null,Guesthouse,75000,36,N/A,N/A
Accommodation,2580660,펜션썸,경상남도 통영시 용남면 연기길 167 null,Guesthouse,189000,36,N/A,N/A
Accommodation,2911291,펜션아이리스,강원특별자치도 홍천군 서면 굴업솔골길 60-9 null,Guesthouse,127000,32,N/A,N/A
Accommodation,2621969,펜션연리,제주특별자치도 서귀포시 논짓물로 50 (하예동),Camping,165000,39,N/A,N/A
